Item Code,Item Group,Default Unit of Measure,Item Name,Maintain Stock,Has Variants,Brand,Warranty Period (in days),Variant Of,Variant Based On,Attribute (Variant Attributes),Supplier (Supplier Items),Supplier Description (Supplier Items),Supplier Part Number (Supplier Items)
NON-CRB-SW-67-27K-200,LED Neon,Meter,Carbon SW LED Neon 2.74W/ft,1,0,ilLumenate Lighting,1825,,,,"General Lighting Electronic Co.,Ltd",,
NON-CRB-SW-67-30K-200,LED Neon,Meter,Carbon SW LED Neon 2.74W/ft,1,0,ilLumenate Lighting,1825,,,,"General Lighting Electronic Co.,Ltd",,
NON-CRB-SW-67-35K-200,LED Neon,Meter,Carbon SW LED Neon 2.74W/ft,1,0,ilLumenate Lighting,1825,,,,"General Lighting Electronic Co.,Ltd",,
NON-CRB-SW-67-40K-200,LED Neon,Meter,Carbon SW LED Neon 2.74W/ft,1,0,ilLumenate Lighting,1825,,,,"General Lighting Electronic Co.,Ltd",,
